feature,importance
PMVL[Inst Num]_4932779,0.002954956191624508
PMVL[Inst Num]_9946841,0.002732274505853547
PMVL[Inst Num]_7240283,0.002518783266364636
PMVL[3A]_Mandats OSTRUM QUATREM AG,0.0024059755051069427
PMVL[Inst Num]_5338906,0.002180018812850887
PMVL[Ptf name]_MHP HM NANTI CNP,0.0021752180469904307
PMVL[Ptf name]_MHP HM NANTI ID,0.002101622118644815
PMVL[Inst Num]_4622713,0.0020363724019041587
PMVL[Inst Num]_4498626,0.0017938255205814432
PMVL[Inst Num]_8467265,0.0017602477191925577
PMVL[Inst Num]_3813610,0.0017343222879040358
PMVL[Ref Unik Codes Completed]_PP_FAC_Act_EUR_MULTI,0.0017115190095248613
PMVL[Ref Unik Asset]_FC_Alter_LS,0.0016550216435346245
PMVL[CIC]_FR59,0.0015072750284992355
PMVL[Ptf name]_QUATREM MDT OSTRUM PA,0.0014045366350342856
PMVL[Ptf name]_MHP HM NANTI SMI,0.0012144964802579844
PMVL[Inst Num]_10907450,0.001068489093438764
PMVL[Inst Num]_8426038,0.001054230916830099
PMVL[Inst Num]_4622704,0.001049879622582148
PMVL[Ptf name]_MHP HM NANT GENERALI,0.0008063690775975095
PMVL[Inst Num]_5180440,0.0006584819330159541
PMVL[Ptf name]_MHP EDIT HM ACT COTE,0.0006437686471312937
PMVL[Ptf name]_MHP HM NANT THELEM,0.000641222751062273
PMVL[Ref Unik Codes Completed]_PP_FAC_Conv_Europe,0.0006200282286651453
PMVL[CIC]_FR31,0.0006022920188306339
PMVL[Inst Num]_8468411,0.0005718106264716862
PMVL[Ptf name]_MHP PERE HM ACT NC,0.00041659378028040814
PMVL[Inst Num]_10187321,0.00041110502015779296
PMVL[Inst Num]_3030930,0.0002953913773315182
PMVL[Inst Num]_8470123,0.00019499999881256833
PMVL[Inst Num]_10831093,0.00016604191129038117
PMVL[Inst Num]_10748680,0.0001279176429153624
PMVL[Ptf name]_MHP HM ACT NC,5.83327335921434e-05
PMVL[CIC]_FR49,2.5949779178412646e-05
PMVL[Inst Num]_12234458,1.8577508888301654e-05
PMVL[Inst Num]_1559507,8.486872815321469e-06
PMVL[Inst Num]_2839372,1.2964173135780926e-06
PMVL[Inst Num]_8467269,1.2338078297729767e-06
PMVL[Inst Num]_9588501,2.1924561818062883e-09
PMVL[Inst Num]_3215199,3.5451716622365264e-10
PMVL[Inst Num]_8800121,3.0265282827486475e-11
PMVL[Inst Num]_5873215,0.0
PMVL[Inst Num]_4373074,0.0
PMVL[Inst Num]_5873491,0.0
PMVL[Ref Unik Asset]_FC_Conv_Europe,0.0
PMVL[GROUPE]_Groupe MH,0.0
PMVL[CIC]_GB51,0.0
PMVL[CIC]_FR46,0.0
PMVL[Inst Num]_288681,0.0
PMVL[Inst Num]_1334621,0.0
PMVL[Inst Num]_2566497,0.0
PMVL[Inst Num]_2956515,0.0
PMVL[Inst Num]_9745480,0.0
PMVL[Inst Num]_9708308,0.0
PMVL[Inst Num]_9315968,0.0
PMVL[Inst Num]_9434985,0.0
PMVL[Inst Num]_9315963,0.0
PMVL[Inst Num]_8615536,0.0
PMVL[Inst Num]_8749853,0.0
PMVL[Inst Num]_8979820,0.0
PMVL[Inst Num]_8615537,0.0
PMVL[Inst Num]_8466172,0.0
PMVL[Inst Num]_8466180,0.0
PMVL[Inst Num]_7240253,0.0
PMVL[Inst Num]_7240288,0.0
PMVL[Inst Num]_8615533,0.0
PMVL[Inst Num]_5873495,0.0
PMVL[Inst Num]_7185089,0.0
PMVL[Inst Num]_4622731,0.0
PMVL[Inst Num]_4879142,0.0
PMVL[Inst Num]_4597012,0.0
PMVL[Inst Num]_4564784,0.0
PMVL[Ref Unik Codes Completed]_PP_Mon_Fonds,0.0
PMVL[Ref Unik Codes Completed]_PP_FAC_Act_Asie,0.0
PMVL[Inst Num]_12238661,0.0
PMVL[Inst Num]_12771012,0.0
PMVL[Inst Num]_11110054,0.0
PMVL[Ref Unik Codes Completed]_PP_FAC_Taux_Autre,0.0
PMVL[Inst Num]_9946845,0.0
PMVL[Inst Num]_10748613,0.0
PMVL[Inst Num]_11008396,0.0
PMVL[Ptf name]_AUXIA ASS HM ACT COTE,0.0
PMVL[Ptf name]_AUXIA HM ACT NC,0.0
PMVL[Parametres_Indices.TICKER]_M7EUM,0.0
