PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)]
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,AUXIA,AUX2E,FR0013423555,PRATIC AUXIA,639.52,2026-01-27T00:00:00,P,80553,1,51515254.56,PP,FC_Div,PP_FAC_DIV_PRATIC,FR44,8615538,PP_FAC_DIV_PRATIC,51515254.56,0,,0,51515254.56,0,AUXIA AG,Hors mandat AUXIA AG,363067.96589304315,363067.96589304315,51878322.52589305,,PP_FAC_DIV,AUXIA HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,CMAV,CMA2C,FR0013423548,PRATIC CMAV,1004.44,2026-01-27T00:00:00,P,13375,1,13434385,PP,FC_Div,PP_FAC_DIV_PRATIC,FR44,8615537,PP_FAC_DIV_PRATIC,13434385,0,,0,13434385,0,CMAV AG,Hors mandat CMAV AG,39612.68518425779,39612.68518425779,13473997.685184257,,PP_FAC_DIV,CMAV HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,INPR,INP2C,FR0007443544,PRATIC INPR,4574,2026-01-27T00:00:00,P,7247,1,33147778,PP,FC_Div,PP_FAC_DIV_PRATIC,FR42,8615534,PP_FAC_DIV_PRATIC,33147778,0,,0,33147778,0,INPR AG,Hors mandat INPR AG,358565.3572017566,358565.3572017566,33506343.357201755,,PP_FAC_DIV,INPR HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MHP,MHP2C,FR0010251082,PRATIC MHP,833.4,2026-01-27T00:00:00,P,536781,1,447353285.40000004,PP,FC_Div,PP_FAC_DIV_PRATIC,FR44,4622712,PP_FAC_DIV_PRATIC,447353285.40000004,0,,0,447353285.40000004,0,MHP AG,Hors mandat MHP AG,5798656.267083391,5798656.267083391,453151941.66708344,,PP_FAC_DIV,MHP HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MHRS,MRS2C,FR0010404731,PRATIC RS,529.85,2026-01-27T00:00:00,P,68817,1,36462687.45,PP,FC_Div,PP_FAC_DIV_PRATIC,FR44,4622713,PP_FAC_DIV_PRATIC,36462687.45,0,,0,36462687.45,0,MHRS AG,Hors mandat MHRS AG,550661.3243578336,550661.3243578336,37013348.77435783,,PP_FAC_DIV,MHRS HM ACTIFS COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,MUTUELLE MH,MMH2C,FR0013423530,PRATIC MUTUEL,1185.13,2026-01-27T00:00:00,P,18467,1,21885795.71,PP,FC_Div,PP_FAC_DIV_PRATIC,FR44,8615536,PP_FAC_DIV_PRATIC,21885795.71,0,,0,21885795.71,0,MMH AG,Hors mandat MUTUELLE MH AG,82778.15971834827,82778.15971834827,21968573.86971835,,PP_FAC_DIV,MHM HM ACTIFS COTE,,
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,QUATREM,QUA1B,FR0000009987,UNION PLUS,207953.21,2026-01-28T00:00:00,P,6.4,1,1330900.54,PP,FC_Mon,PP_Mon_Fonds,FR43,5080831,PP_Mon_Fonds,1329749.568,1150.972000000067,Monetaire,0,1330900.54,1150.972000000067,QUATREM AG,Mandats OSTRUM QUATREM AG,0,1150.972000000067,1330900.54,,PP_Mon_Fonds,QUATREM MDT OSTRUM PA,1329749.568,1329749.568
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,QUATREM,QUA2B,FR0010106849,BNP INDICE FRANCE ESG CL D,436.33,2026-01-26T00:00:00,P,386.1,1,168467.01,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8466172,PP_FAC_Act_EUR_LC,104452.65988470001,64014.350115299996,M7EM,-0.0079417429619271,167129.0883090156,62676.4284243156,QUATREM AG,Hors mandat QUATREM AG,0,62676.4284243156,167129.0883090156,2026-01-28T00:00:00,PP_FAC_Act,QUATREM HM ACT NC,104452.65988470001,104452.65988470001
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,QUATREM,QUA2B,FR0000009987,UNION PLUS,207953.21,2026-01-28T00:00:00,P,88,1,18299882.48,PP,FC_Mon,PP_Mon_Fonds,FR43,5080831,PP_Mon_Fonds,13905748.069999998,4394134.410000002,Monetaire,0,18299882.48,4394134.410000002,QUATREM AG,Hors mandat QUATREM AG,0,4394134.410000002,18299882.48,,PP_Mon_Fonds,QUATREM HM ACT NC,13905748.069999998,13905748.069999998
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,QUATREM,QUA2A,FR0010831693,Ostrum SRI Cash Plus I C EUR,111258.92,2026-01-28T00:00:00,P,768.8499999999999,1,85541420.64,PP,FC_Mon,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,85473593.9899412,67826.65005880594,Monetaire,0,85541420.64,67826.65005880594,QUATREM AG,Hors mandat QUATREM AG,0,67826.65005880594,85541420.64,,PP_Mon_Fonds,QUATREM HM ACT COTE,85473593.9899412,85473593.9899412
EXPORT_PRMP_ADP,2026-01-29T00:00:00,Groupe MH,QUATREM,QUA2A,FR001400IAY2,MH AMUNDI ACTIONS EUROPE EX EURO,1384.14,2026-01-27T00:00:00,P,14780,1000,20457589.2,PP,FC_Act_exEUR,PP_FAC_Act_ExEUR,FR41,10187321,PP_FAC_Act_ExEUR,14855524,5602065.199999999,,0,20457589.2,5602065.199999999,QUATREM AG,Hors mandat QUATREM AG,0,5602065.199999999,20457589.2,,PP_FAC_Act,QUATREM HM ACT COTE,14855524,14855524
