PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,CMAV,CMA2C,FR0007475975,MH Lazard action euro LC,482.35,2026-03-19T00:00:00,P,2793.57371,1,525483.4981946029,525483.4981946029,1347480.28,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,525483.4981946029,821996.7818053971,-0.0189226095922859,1321982.436728256,796498.9385336532,CMAV AG,Hors mandat CMAV AG,0,796498.9385336532,1321982.436728256,PP_FAC_Act,CMAV HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,CMAV,CMA2C,FR0000986531,SELECTION VALEURS MOYENNES,938.76,2026-03-19T00:00:00,P,13420,1,4747876,4747876,12598159.200000001,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,4747876,7850283.200000001,-0.0189226095922859,12359769.151876936,7611893.151876936,CMAV AG,Hors mandat CMAV AG,0,7611893.151876936,12359769.151876936,PP_FAC_Act,CMAV HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,CMAV,CMA2C,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6182.52,2026-03-19T00:00:00,P,390,1,1005206,1005206,2411182.8,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1005206,1405976.7999999998,-0.0189226095922859,2365556.929219965,1360350.929219965,CMAV AG,Hors mandat CMAV AG,0,1360350.929219965,2365556.929219965,PP_FAC_Act,CMAV HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,CMAV,CMA2C,FR0007074166,LBPAM ACTIONS VALUE EURO,3263.23,2026-03-19T00:00:00,P,430,1,659705.0000000001,659705,1403188.9,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,659705,743483.8999999999,-0.0189226095922859,1376636.9042610708,716931.9042610708,CMAV AG,Hors mandat CMAV AG,0,716931.9042610708,1376636.9042610708,PP_FAC_Act,CMAV HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,CMAV,CMA2C,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3333.05,2026-03-19T00:00:00,P,180,1,319125.60000000003,319125.60000000003,599949,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,319125.60000000003,280823.39999999997,-0.0189226095922859,588596.3992977177,269470.7992977177,CMAV AG,Hors mandat CMAV AG,0,269470.7992977177,588596.3992977177,PP_FAC_Act,CMAV HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,EMUT,EMU2A,FR0013342326,Tocqueville US Equity SRI GP,247.34,2026-03-19T00:00:00,P,1724,1,387848.27999999997,387848.27999999997,426414.16,PP,FC_Act_US,,FR41,12234458,PP_FAC_Act_EUR_LC,387848.27999999997,38565.880000000005,0,426414.16,38565.880000000005,EMUT AG,Hors mandat EMUT AG,0,38565.880000000005,426414.16,PP_FAC_Act,EMUT HORS MDT COTE,2026-03-23T00:00:00,,
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,EMUT,EMU2A,FR0013230042,Tocqueville Euro Equity Value SRI GP,187.16,2026-03-19T00:00:00,P,1064,1,168303.52000000002,168303.52000000002,199138.24,PP,FC_Act_EUR,,FR41,12238661,PP_FAC_Act_EUR_LC,168303.52000000002,30834.719999999972,-0.0189226095922859,195370.02482958508,27066.504829585057,EMUT AG,Hors mandat EMUT AG,0,27066.504829585057,195370.02482958508,PP_FAC_Act,EMUT HORS MDT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,EMUT,EMU2A,FR0010702084,INSERTION EMP DYN RC,253.91,2026-03-19T00:00:00,P,361.7122,1,70081.9999062084,70081.9999062084,91842.34,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,3030930,PP_FAC_Act_EUR_LC,70081.9999062084,21760.3400937916,-0.0189226095922859,90104.44325613802,20022.44334992963,EMUT AG,Hors mandat EMUT AG,0,20022.44334992963,90104.44325613802,PP_FAC_Act,EMUT HORS MDT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,EMUT,EMU2A,FR0007475975,MH Lazard action euro LC,527.56,2026-03-19T00:00:00,P,1671.40935,1,688148.4389448005,688148.4389448005,881768.72,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,688148.4389448005,193620.28105519945,-0.0189226095922859,865083.3547607503,176934.9158159498,EMUT AG,Hors mandat EMUT AG,0,176934.9158159498,865083.3547607503,PP_FAC_Act,EMUT HORS MDT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,EMUT,EMU2A,FR0000986531,SELECTION VALEURS MOYENNES,1032.48,2026-03-19T00:00:00,P,119,1,102688.67,102688.67,122865.12,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,102688.67,20176.449999999997,-0.0189226095922859,120540.19130173064,17851.521301730638,EMUT AG,Hors mandat EMUT AG,0,17851.521301730638,120540.19130173064,PP_FAC_Act,EMUT HORS MDT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
