PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,CMAV,CMA2C,FR0011662014,MM STRATIC,23547.98,2025-12-29T00:00:00,P,289,1,6805366.22,PP,FC_Div,PP_FAC_Act_EUR_MULTI,XL44,4622726,PP_FAC_Act_EUR_MULTI,6805366.22,0,0,6805366.22,0,CMAV AG,Hors mandat CMAV AG,0,0,6805366.22,PP_FAC_Act,CMAV HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,CMAV,CMA2C,FR0010135103,CARMIGNAC PATRIMOINE,808.84,2026-01-15T00:00:00,P,644,1,520892.96,PP,FC_Div,PP_FAC_DIV_Autres,FR44,1559507,PP_FAC_DIV_Autres,520892.96,0,0,520892.96,0,CMAV AG,Hors mandat CMAV AG,0,0,520892.96,PP_FAC_DIV,CMAV HM ACT COTE,Diversifié,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,CMAV,CMA2C,FR0000986531,SELECTION VALEURS MOYENNES,1006.15,2026-01-15T00:00:00,P,13420,1,13502533.000000002,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,13502533.000000002,0,0,13502533.000000002,0,CMAV AG,Hors mandat CMAV AG,0,0,13502533.000000002,PP_FAC_Act,CMAV HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,CMAV,CMA2C,FR0007078480,LBPAM ACTIONS EURO LARGE CAP M,4158.62,2026-01-15T00:00:00,P,310,1,1289172.2,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,4597012,PP_FAC_Act_EUR_LC,1289172.2,0,0,1289172.2,0,CMAV AG,Hors mandat CMAV AG,0,0,1289172.2,PP_FAC_Act,CMAV HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,CMAV,CMA2C,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6816.36,2026-01-15T00:00:00,P,390,1,2658380.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,2658380.4,0,0,2658380.4,0,CMAV AG,Hors mandat CMAV AG,0,0,2658380.4,PP_FAC_Act,CMAV HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,CMAV,CMA2C,FR0007074166,LBPAM ACTIONS VALUE EURO,3480.21,2026-01-15T00:00:00,P,430,1,1496490.3,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,1496490.3,0,0,1496490.3,0,CMAV AG,Hors mandat CMAV AG,0,0,1496490.3,PP_FAC_Act,CMAV HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,CMAV,CMA2C,FR0010831693,Ostrum SRI Cash Plus I C EUR,111196.26,2026-01-18T00:00:00,P,124.35,1,13827254.93,PP,FC_Mon,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,13827254.93,0,0,13827254.93,0,CMAV AG,Hors mandat CMAV AG,0,0,13827254.93,PP_Mon_Fonds,CMAV HM ACT COTE,Monetaire,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,CMAV,CMA2C,FR0007045950,FEDERIS ISR EURO M,2489.71,2026-01-15T00:00:00,P,590,1,1468928.9,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,1468928.9,0,0,1468928.9,0,CMAV AG,Hors mandat CMAV AG,0,0,1468928.9,PP_FAC_Act,CMAV HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,CMAV,CMA2C,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3546.97,2026-01-15T00:00:00,P,180,1,638454.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,638454.6,0,0,638454.6,0,CMAV AG,Hors mandat CMAV AG,0,0,638454.6,PP_FAC_Act,CMAV HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,EMUT,EMU2A,FR0013342326,Tocqueville US Equity SRI GP,247.2,2026-01-15T00:00:00,P,1724,1,426172.8,PP,FC_Act_US,,FR41,12234458,PP_FAC_Act_EUR_LC,426172.8,0,0,426172.8,0,EMUT AG,Hors mandat EMUT AG,0,0,426172.8,PP_FAC_Act,EMUT HORS MDT COTE,,
