PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2],PMVL[Ref Unik Asset]
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,CMAV,CMA2C,FR0007475975,MH Lazard action euro LC,476.58,2026-03-23T00:00:00,P,2793.57371,1,525483.4981946029,525483.4981946029,1331361.36,PP,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,525483.4981946029,805877.8618053972,M7EM,0.00258550431385779,1334803.6005395837,809320.1023449808,CMAV AG,Hors mandat CMAV AG,0,809320.1023449808,1334803.6005395837,2026-03-24T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,CMAV,CMA2C,FR0000986531,SELECTION VALEURS MOYENNES,930.62,2026-03-23T00:00:00,P,13420,1,4747876,4747876,12488920.4,PP,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,4747876,7741044.4,M7EM,0.00258550431385779,12521210.557569627,7773334.557569627,CMAV AG,Hors mandat CMAV AG,0,7773334.557569627,12521210.557569627,2026-03-24T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,CMAV,CMA2C,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6149.2,2026-03-23T00:00:00,P,390,1,1005206,1005206,2398188,PP,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1005206,1392982,M7EM,0.00258550431385779,2404388.525419442,1399182.525419442,CMAV AG,Hors mandat CMAV AG,0,1399182.525419442,2404388.525419442,2026-03-24T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,CMAV,CMA2C,FR0007074166,LBPAM ACTIONS VALUE EURO,3243.58,2026-03-23T00:00:00,P,430,1,659705.0000000001,659705,1394739.4,PP,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,659705,735034.3999999999,M7EM,0.00258550431385779,1398345.5047354074,738640.5047354074,CMAV AG,Hors mandat CMAV AG,0,738640.5047354074,1398345.5047354074,2026-03-24T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,CMAV,CMA2C,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3305.19,2026-03-23T00:00:00,P,180,1,319125.60000000003,319125.60000000003,594934.2,PP,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,319125.60000000003,275808.5999999999,M7EM,0.00258550431385779,596472.4049405615,277346.8049405615,CMAV AG,Hors mandat CMAV AG,0,277346.8049405615,596472.4049405615,2026-03-24T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,EMUT,EMU2A,FR0013342326,Tocqueville US Equity SRI GP,247.34,2026-03-23T00:00:00,P,1724,1,387848.27999999997,387848.27999999997,426414.16,PP,,FR41,12234458,PP_FAC_Act_EUR_LC,387848.27999999997,38565.880000000005,,0,426414.16,38565.880000000005,EMUT AG,Hors mandat EMUT AG,0,38565.880000000005,426414.16,,PP_FAC_Act,EMUT HORS MDT COTE,2026-03-25T00:00:00,FC_Act_US
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,EMUT,EMU2A,FR0013230042,Tocqueville Euro Equity Value SRI GP,187.16,2026-03-23T00:00:00,P,1064,1,168303.52000000002,168303.52000000002,199138.24,PP,,FR41,12238661,PP_FAC_Act_EUR_LC,168303.52000000002,30834.719999999972,M7EM,0.00258550431385779,199653.11277857405,31349.592778574035,EMUT AG,Hors mandat EMUT AG,0,31349.592778574035,199653.11277857405,2026-03-24T00:00:00,PP_FAC_Act,EMUT HORS MDT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,EMUT,EMU2A,FR0010702084,INSERTION EMP DYN RC,253.91,2026-03-23T00:00:00,P,361.7122,1,70081.9999062084,70081.9999062084,91842.34,PP,PP_FAC_Act_EUR_LC,FR41,3030930,PP_FAC_Act_EUR_LC,70081.9999062084,21760.3400937916,M7EM,0.00258550431385779,92079.7987662648,21997.7988600564,EMUT AG,Hors mandat EMUT AG,0,21997.7988600564,92079.7987662648,2026-03-24T00:00:00,PP_FAC_Act,EMUT HORS MDT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,EMUT,EMU2A,FR0007475975,MH Lazard action euro LC,527.56,2026-03-23T00:00:00,P,1671.40935,1,688148.4389448005,688148.4389448005,881768.72,PP,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,688148.4389448005,193620.28105519945,M7EM,0.00258550431385779,884048.5368293849,195900.09788458433,EMUT AG,Hors mandat EMUT AG,0,195900.09788458433,884048.5368293849,2026-03-24T00:00:00,PP_FAC_Act,EMUT HORS MDT COTE,2026-03-25T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-25T00:00:00,Groupe MH,EMUT,EMU2A,FR0000986531,SELECTION VALEURS MOYENNES,1032.48,2026-03-23T00:00:00,P,119,1,102688.67,102688.67,122865.12,PP,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,102688.67,20176.449999999997,M7EM,0.00258550431385779,123182.78829778265,20494.118297782654,EMUT AG,Hors mandat EMUT AG,0,20494.118297782654,123182.78829778265,2026-03-24T00:00:00,PP_FAC_Act,EMUT HORS MDT COTE,2026-03-25T00:00:00,FC_Act_EUR
