PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,CMAV,CMA2C,FR001400IAV8,MH AMUNDI ACTIONS USA C,1553.08,2026-01-16T00:00:00,P,3113,1000,3394775.8999999994,3394775.9,4834738.04,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,10184109,PP_FAC_Act_US_LC,3394775.9,1439962.1400000001,,0,4834738.04,1439962.1400000001,CMAV AG,Hors mandat CMAV AG,0,1439962.1400000001,4834738.04,PP_FAC_Act,CMAV HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,CMAV,CMA2C,FR001400IAW6,MH AMUNDI ACTIONS EURO C,1490.34,2026-01-19T00:00:00,P,5155,1000,5683610.9399999995,5683610.9399999995,7682702.7,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,10184067,PP_FAC_Act_EUR_LC,5683610.9399999995,1999091.7600000007,,0,7682702.7,1999091.7600000007,CMAV AG,Hors mandat CMAV AG,0,1999091.7600000007,7682702.7,PP_FAC_Act,CMAV HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,CMAV,CMA2C,FR0011662014,MM STRATIC,23547.98,2025-12-29T00:00:00,P,289,1,3514482.7600000002,3514482.7600000002,6805366.22,PP,FC_Div,PP_FAC_Act_EUR_MULTI,XL44,4622726,PP_FAC_Act_EUR_MULTI,3514482.7600000002,3290883.4599999995,,0,6805366.22,3290883.4599999995,CMAV AG,Hors mandat CMAV AG,0,3290883.4599999995,6805366.22,PP_FAC_Act,CMAV HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,CMAV,CMA2C,FR0000986531,SELECTION VALEURS MOYENNES,994.21,2026-01-19T00:00:00,P,13420,1,4747876,4747876,13342298.2,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,4747876,8594422.2,,0,13342298.2,8594422.2,CMAV AG,Hors mandat CMAV AG,0,8594422.2,13342298.2,PP_FAC_Act,CMAV HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,CMAV,CMA2C,FR0007078480,LBPAM ACTIONS EURO LARGE CAP M,4100.34,2026-01-19T00:00:00,P,310,1,554867.4,554867.4,1271105.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,4597012,PP_FAC_Act_EUR_LC,554867.4,716237.9999999999,,0,1271105.4,716237.9999999999,CMAV AG,Hors mandat CMAV AG,0,716237.9999999999,1271105.4,PP_FAC_Act,CMAV HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,CMAV,CMA2C,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6687.29,2026-01-19T00:00:00,P,390,1,1005206,1005206,2608043.1,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1005206,1602837.1,,0,2608043.1,1602837.1,CMAV AG,Hors mandat CMAV AG,0,1602837.1,2608043.1,PP_FAC_Act,CMAV HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,CMAV,CMA2C,FR0007074166,LBPAM ACTIONS VALUE EURO,3434.82,2026-01-19T00:00:00,P,430,1,659705,659705,1476972.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,659705,817267.6000000001,,0,1476972.6,817267.6000000001,CMAV AG,Hors mandat CMAV AG,0,817267.6000000001,1476972.6,PP_FAC_Act,CMAV HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,CMAV,CMA2C,FR0007045950,FEDERIS ISR EURO M,2453.61,2026-01-19T00:00:00,P,590,1,525483.5,525483.5,1447629.9,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,525483.5,922146.3999999999,,0,1447629.9,922146.3999999999,CMAV AG,Hors mandat CMAV AG,0,922146.3999999999,1447629.9,PP_FAC_Act,CMAV HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,CMAV,CMA2C,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3515.85,2026-01-19T00:00:00,P,180,1,319125.60000000003,319125.60000000003,632853,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,319125.60000000003,313727.39999999997,,0,632853,313727.39999999997,CMAV AG,Hors mandat CMAV AG,0,313727.39999999997,632853,PP_FAC_Act,CMAV HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,EMUT,EMU2A,FR0013342326,Tocqueville US Equity SRI GP,247.2,2026-01-16T00:00:00,P,1724,1,387848.27999999997,387848.27999999997,426172.8,PP,FC_Act_US,,FR41,12234458,PP_FAC_Act_EUR_LC,387848.27999999997,38324.52000000002,,0,426172.8,38324.52000000002,EMUT AG,Hors mandat EMUT AG,0,38324.52000000002,426172.8,PP_FAC_Act,EMUT HORS MDT COTE,
