PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2],PMVL[Ref Unik Asset],PMVL[Flag Fonds Dedie],PMVL[PFMIndice.Perf J / J-1]
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2462.63,2026-03-17T00:00:00,P,7888,1,8412826.24,8412826.24,19425225.44,PP,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,11012399.200000001,M7EM,19700745.105666153,11287918.865666153,AUXIA AG,Hors mandat AUXIA AG,0,11287918.865666153,19700745.105666153,2026-03-25T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-26T00:00:00,FC_Act_EUR,Vrai,0.0141836019621584
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,AUXIA,AUX2E,LU1956164344,BNPP Rspnb US Mlt-Fac Eq I EUR Acc,217.74,2026-03-25T00:00:00,P,18400,1,3696560,3696560,4006416,PP,,LU41,11976073,PP_FAC_Act_EUR_LC,3696560,309856,MAUSLCR,4032315.4384322567,335755.4384322567,AUXIA AG,Hors mandat AUXIA AG,0,335755.4384322567,4032315.4384322567,2026-03-25T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-26T00:00:00,FC_Act_US,Vrai,0.00646449056519764
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,AUXIA,AUX2E,FR0010831693,Ostrum SRI Cash Plus I C EUR,111597.36,2026-03-25T00:00:00,P,497.6,1,55322286.19,55322286.19,55530846.34,PP,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,55322286.19,208560.15000000596,Monetaire,55530846.34,208560.15000000596,AUXIA AG,Hors mandat AUXIA AG,0,208560.15000000596,55530846.34,,PP_Mon_Fonds,AUXIA HM ACT COTE,2026-03-26T00:00:00,FC_Mon,Vrai,0
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,AUXIA,AUX2E,IE00B4WXJJ64,ISHARES CORE EUR GVT (GER),108.8,2026-03-25T00:00:00,P,150000,1,16379280,16379280,16319999.999999998,PP,PP_FAC_Taux_Gov,GB42,5030921,PP_FAC_Taux_Gov,16379280,-59280.00000000186,LEATTREU,16295143.413748387,-84136.58625161275,AUXIA AG,Hors mandat AUXIA AG,0,-84136.58625161275,16295143.413748387,2026-03-24T00:00:00,PP_FAC_Taux,AUXIA HM ACT COTE,2026-03-26T00:00:00,FC_Taux_Souv,Vrai,-0.00152307513796634
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0011758044,LBPAM PRO ALTO M,1134.65,2026-03-17T00:00:00,P,1153,1,1152877.74,1152877.74,1308251.45,PP,PP_FAC_Taux_Corp_IG,FR42,5873495,PP_FAC_Taux_Corp_IG,1152877.74,155373.70999999996,Composite_diversifie,1326807.1678332165,173929.4278332165,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,173929.4278332165,1326807.1678332165,2026-03-25T00:00:00,PP_FAC_Taux,AUXIA ASS HM ACT COTE,2026-03-26T00:00:00,FC_Div,Vrai,0.0141836019621584
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007078480,LBPAM ACTIONS EURO LARGE CAP M,4087.1,2026-03-17T00:00:00,P,459,1,824285.82,824285.82,1875978.9,PP,PP_FAC_Act_EUR_LC,FR41,4597012,PP_FAC_Act_EUR_LC,824285.82,1051693.08,M7EM,1902587.0380070077,1078301.2180070076,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1078301.2180070076,1902587.0380070074,2026-03-25T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-26T00:00:00,FC_Act_EUR,Vrai,0.0141836019621584
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0010831693,Ostrum SRI Cash Plus I C EUR,111597.36,2026-03-25T00:00:00,P,2,1,,,223194.72,PP,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,223194.72,0,Monetaire,223194.72,0,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,0,223194.72,,PP_Mon_Fonds,AUXIA ASS HM ACT COTE,2026-03-26T00:00:00,FC_Mon,Vrai,0
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007079330,LBPAM SELECTION ACTIONS ASIE,5446.16,2026-03-17T00:00:00,P,21,1,67940.23,67940.23,114369.36,PP,PP_FAC_Act_Asie,FR41,4622700,PP_FAC_Act_Asie,67940.23,46429.130000000005,MSDEPN,116888.22644669401,48947.996446694015,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,48947.996446694015,116888.22644669401,2026-03-25T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-26T00:00:00,FC_Act_AsPac,Vrai,0.022023962070733
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022793,LBPAM ACTIONS EX-EURO-M,5330.43,2026-03-17T00:00:00,P,46,1,128144.68,128144.68,245199.78,PP,PP_FAC_Act_ExEUR,FR41,5873215,PP_FAC_Act_ExEUR,128144.68,117055.1,M7EUM,248590.8591617554,120446.1791617554,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,120446.1791617554,248590.8591617554,2026-03-25T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-26T00:00:00,FC_Act_exEUR,Vrai,0.0138298621709831
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,AUXIA,AUX2D,FR0011312859,TESTAMENT OBSEQUES FINANCEMENT II,136.67,2026-03-20T00:00:00,P,345277.204375933,1,41618433.3551771,41618433.355177104,47189035.519999996,PP,PP_FAC_Taux_Infl,FR42,3813610,PP_FAC_Taux_Infl,41618433.355177104,5570602.164822891,LF94TRUU,47078579.24332342,5460145.8881463185,AUXIA AG,Hors mandat AUXIA AG,0,5460145.8881463185,47078579.24332342,2026-03-24T00:00:00,PP_FAC_Taux,AUXIA HM ACT PIV UC,2026-03-26T00:00:00,FC_Taux_Infl,Vrai,-0.00234071909839634
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0011441583,LBPAM ISR Opti Euro Equity MH,2462.63,2026-03-17T00:00:00,P,206,1,281586.38,281586.38,507301.78,PP,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,281586.38,225715.40000000002,M7EM,514497.14652221446,232910.76652221446,CAPREVAL AG,batch,0,232910.76652221446,514497.14652221446,2026-03-25T00:00:00,PP_FAC_Act,CAPREVAL HM ACT COTE,2026-03-26T00:00:00,FC_Act_EUR,Vrai,0.0141836019621584
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007078480,LBPAM ACTIONS EURO LARGE CAP M,4087.1,2026-03-17T00:00:00,P,592,1,1027753.98,1027753.98,2419563.2,PP,PP_FAC_Act_EUR_LC,FR41,4597012,PP_FAC_Act_EUR_LC,1027753.98,1391809.2200000002,M7EM,2453881.3213510863,1426127.3413510863,CAPREVAL AG,batch,0,1426127.3413510863,2453881.3213510863,2026-03-25T00:00:00,PP_FAC_Act,CAPREVAL HM ACT COTE,2026-03-26T00:00:00,FC_Act_EUR,Vrai,0.0141836019621584
EXPORT_PRMP_ADP,2026-03-26T00:00:00,Groupe MH,CAPREVAL,CAP2B,FR0007079330,LBPAM SELECTION ACTIONS ASIE,5446.16,2026-03-17T00:00:00,P,18,1,39697.200000000004,39697.200000000004,98030.88,PP,PP_FAC_Act_Asie,FR41,4622700,PP_FAC_Act_Asie,39697.200000000004,58333.68,MSDEPN,100189.90838288057,60492.70838288057,CAPREVAL AG,batch,0,60492.70838288057,100189.90838288057,2026-03-25T00:00:00,PP_FAC_Act,CAPREVAL HM ACT COTE,2026-03-26T00:00:00,FC_Act_AsPac,Vrai,0.022023962070733
