PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2],PMVL[Ref Unik Asset]
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,CMAV,CMA2C,FR0000986531,SELECTION VALEURS MOYENNES,922.52,2026-03-20T00:00:00,P,13420,1,4747876,4747876,12380218.4,PP,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,4747876,7632342.4,M7EM,0.0107658220656743,12513501.628428588,7765625.628428588,CMAV AG,Hors mandat CMAV AG,0,7765625.628428588,12513501.628428588,2026-03-23T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,CMAV,CMA2C,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6057.46,2026-03-20T00:00:00,P,390,1,1005206,1005206,2362409.4,PP,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1005206,1357203.4,M7EM,0.0107658220656743,2387842.679246676,1382636.6792466762,CMAV AG,Hors mandat CMAV AG,0,1382636.6792466762,2387842.679246676,2026-03-23T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,CMAV,CMA2C,FR0007074166,LBPAM ACTIONS VALUE EURO,3218.29,2026-03-20T00:00:00,P,430,1,659705.0000000001,659705,1383864.7,PP,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,659705,724159.7,M7EM,0.0107658220656743,1398763.1411231677,739058.1411231677,CMAV AG,Hors mandat CMAV AG,0,739058.1411231677,1398763.1411231677,2026-03-23T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,CMAV,CMA2C,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3284.92,2026-03-20T00:00:00,P,180,1,319125.60000000003,319125.60000000003,591285.6,PP,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,319125.60000000003,272159.99999999994,M7EM,0.0107658220656743,597651.2755595954,278525.6755595954,CMAV AG,Hors mandat CMAV AG,0,278525.6755595954,597651.2755595954,2026-03-23T00:00:00,PP_FAC_Act,CMAV HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,EMUT,EMU2A,FR0013342326,Tocqueville US Equity SRI GP,247.34,2026-03-20T00:00:00,P,1724,1,387848.27999999997,387848.27999999997,426414.16,PP,,FR41,12234458,PP_FAC_Act_EUR_LC,387848.27999999997,38565.880000000005,,0,426414.16,38565.880000000005,EMUT AG,Hors mandat EMUT AG,0,38565.880000000005,426414.16,,PP_FAC_Act,EMUT HORS MDT COTE,2026-03-24T00:00:00,FC_Act_US
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,EMUT,EMU2A,FR0013230042,Tocqueville Euro Equity Value SRI GP,187.16,2026-03-20T00:00:00,P,1064,1,168303.52000000002,168303.52000000002,199138.24,PP,,FR41,12238661,PP_FAC_Act_EUR_LC,168303.52000000002,30834.719999999972,M7EM,0.0107658220656743,201282.12685831153,32978.60685831151,EMUT AG,Hors mandat EMUT AG,0,32978.60685831151,201282.12685831153,2026-03-23T00:00:00,PP_FAC_Act,EMUT HORS MDT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,EMUT,EMU2A,FR0010702084,INSERTION EMP DYN RC,253.91,2026-03-20T00:00:00,P,361.7122,1,70081.9999062084,70081.9999062084,91842.34,PP,PP_FAC_Act_EUR_LC,FR41,3030930,PP_FAC_Act_EUR_LC,70081.9999062084,21760.3400937916,M7EM,0.0107658220656743,92831.09829053516,22749.09838432676,EMUT AG,Hors mandat EMUT AG,0,22749.09838432676,92831.09829053516,2026-03-23T00:00:00,PP_FAC_Act,EMUT HORS MDT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,EMUT,EMU2A,FR0007475975,MH Lazard action euro LC,527.56,2026-03-20T00:00:00,P,1671.40935,1,688148.4389448005,688148.4389448005,881768.72,PP,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,688148.4389448005,193620.28105519945,M7EM,0.0107658220656743,891261.6851425974,203113.2461977969,EMUT AG,Hors mandat EMUT AG,0,203113.2461977969,891261.6851425974,2026-03-23T00:00:00,PP_FAC_Act,EMUT HORS MDT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,EMUT,EMU2A,FR0000986531,SELECTION VALEURS MOYENNES,1032.48,2026-03-20T00:00:00,P,119,1,102688.67,102688.67,122865.12,PP,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,102688.67,20176.449999999997,M7EM,0.0107658220656743,124187.86401999772,21499.194019997725,EMUT AG,Hors mandat EMUT AG,0,21499.194019997725,124187.86401999772,2026-03-23T00:00:00,PP_FAC_Act,EMUT HORS MDT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,INPR,INP2C,FR0007057674,FEDERIS ISR ACTIONS US MM,4273.9,2026-03-20T00:00:00,P,6115,1,7530823.43,7530823.43,26134898.5,PP,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,7530823.43,18604075.07,,0,26134898.5,18604075.07,INPR AG,Hors mandat INPR AG,0,18604075.07,26134898.5,,PP_FAC_Act,INPR HM ACT COTE,2026-03-24T00:00:00,FC_Act_US
