threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,fold
0.45,0.8390913393279698,0.8183661634260437,0.8557142857142858,0.8967065868263473,0.8757309941520468,0.6493245978621413,575,202,138,1198,0.8794592282616235,0.9035983693764769,0.13007894887458896,1569156.1196602955,1568880.1196602955,276.0,202,138,3
0.4,0.8376715570279224,0.8113199277121432,0.8445523941707148,0.9109281437125748,0.8764854159164566,0.6446649048458987,553,224,119,1217,0.8794592282616235,0.9035983693764769,0.13007894887458896,1579201.4436902958,1578963.4436902958,238.0,224,119,3
0.35,0.8419309039280644,0.8074184642298414,0.8331117021276596,0.937874251497006,0.8823943661971831,0.6545474244596271,526,251,83,1253,0.8794592282616235,0.9035983693764769,0.13007894887458896,1711573.1253202953,1711407.1253202953,166.0,251,83,3
0.3,0.8376715570279224,0.792741736604012,0.8144395186827106,0.9625748502994012,0.8823327615780446,0.6496309168984954,484,293,50,1286,0.8794592282616235,0.9035983693764769,0.13007894887458896,1812615.2390706954,1812515.2390706954,100.0,293,50,3
0.25,0.8277330809275911,0.7738432401606055,0.7963414634146342,0.9775449101796407,0.8776881720430108,0.633568044620717,443,334,30,1306,0.8794592282616235,0.9035983693764769,0.13007894887458896,1857701.2938006958,1857641.2938006958,60.0,334,30,3
0.2,0.8102224325603408,0.7486874706186084,0.7771191464137522,0.9812874251497006,0.8673503142573602,0.5977716282339401,401,376,25,1311,0.8794592282616235,0.9035983693764769,0.13007894887458896,1860632.0991106946,1860582.0991106946,50.0,376,25,3
0.15,0.7889256980596309,0.7183836959286061,0.7554535017221584,0.9850299401197605,0.8551007147498375,0.5535449788920748,351,426,20,1316,0.8794592282616235,0.9035983693764769,0.13007894887458896,2258411.4389406946,2258371.4389406946,40.0,426,20,3
0.1,0.7278750591575959,0.6305256282801193,0.6995280545359203,0.9985029940119761,0.8226950354609929,0.4243562176010971,204,573,2,1334,0.8794592282616235,0.9035983693764769,0.13007894887458896,2357019.8326344676,2357015.8326344676,4.0,573,2,3
0.05,0.657359204921912,0.5341055341055341,0.6485436893203883,1.0,0.7868080094228505,0.21032797681262197,53,724,0,1336,0.8794592282616235,0.9035983693764769,0.13007894887458896,2369156.331626067,2369156.331626067,0.0,724,0,3
0.6,0.2735447231424515,0.5,0.0,0.0,0.0,0.0,578,0,1535,0,0.8216392592676083,0.8979355204191278,0.21097303855816985,3070.0,0.0,3070.0,0,1535,4
0.65,0.2735447231424515,0.5,0.0,0.0,0.0,0.0,578,0,1535,0,0.8216392592676083,0.8979355204191278,0.21097303855816985,3070.0,0.0,3070.0,0,1535,4
0.7,0.2735447231424515,0.5,0.0,0.0,0.0,0.0,578,0,1535,0,0.8216392592676083,0.8979355204191278,0.21097303855816985,3070.0,0.0,3070.0,0,1535,4
0.75,0.2735447231424515,0.5,0.0,0.0,0.0,0.0,578,0,1535,0,0.8216392592676083,0.8979355204191278,0.21097303855816985,3070.0,0.0,3070.0,0,1535,4
0.8,0.2735447231424515,0.5,0.0,0.0,0.0,0.0,578,0,1535,0,0.8216392592676083,0.8979355204191278,0.21097303855816985,3070.0,0.0,3070.0,0,1535,4
0.85,0.2735447231424515,0.5,0.0,0.0,0.0,0.0,578,0,1535,0,0.8216392592676083,0.8979355204191278,0.21097303855816985,3070.0,0.0,3070.0,0,1535,4
0.9,0.2735447231424515,0.5,0.0,0.0,0.0,0.0,578,0,1535,0,0.8216392592676083,0.8979355204191278,0.21097303855816985,3070.0,0.0,3070.0,0,1535,4
0.95,0.2735447231424515,0.5,0.0,0.0,0.0,0.0,578,0,1535,0,0.8216392592676083,0.8979355204191278,0.21097303855816985,3070.0,0.0,3070.0,0,1535,4
0.55,0.5475627070515854,0.6530042942641705,0.9071729957805907,0.4201954397394137,0.5743544078361532,0.28869742989538755,512,66,890,645,0.8216392592676083,0.8979355204191278,0.21097303855816985,194301.29930009405,192521.29930009405,1780.0,66,890,4
0.5,0.791292001893043,0.7468700337003933,0.8646666666666667,0.8449511400651466,0.8546952224052718,0.48499874445906455,375,203,238,1297,0.8216392592676083,0.8979355204191278,0.21097303855816985,1715598.7036403925,1715122.7036403925,476.0,203,238,4
0.45,0.8409843823946995,0.745476933827756,0.8451352907311457,0.9563517915309446,0.8973105134474327,0.572222543064495,309,269,67,1468,0.8216392592676083,0.8979355204191278,0.21097303855816985,1849472.4475559231,1849338.4475559231,134.0,269,67,4
0.4,0.8324656885944155,0.7072546013998625,0.8210984230560087,0.9837133550488599,0.8950800237107291,0.5500296992198297,249,329,25,1510,0.8216392592676083,0.8979355204191278,0.21097303855816985,1859774.0791941357,1859724.0791941357,50.0,329,25,4
0.35,0.8225272124940842,0.682616683385368,0.807855626326964,0.9915309446254071,0.8903188066686165,0.5237576332191535,216,362,13,1522,0.8216392592676083,0.8979355204191278,0.21097303855816985,2556256.1555221677,2556230.1555221677,26.0,362,13,4
0.3,0.779460482725982,0.596885813148789,0.7671164417791104,1.0,0.8682126696832579,0.3855455880737704,112,466,0,1535,0.8216392592676083,0.8979355204191278,0.21097303855816985,2628985.2540837675,2628985.2540837675,0.0,466,0,4
0.05,0.7264552768575485,0.5,0.7264552768575485,1.0,0.8415570175438597,0.0,0,578,0,1535,0.8216392592676083,0.8979355204191278,0.21097303855816985,2629573.4830205673,2629573.4830205673,0.0,578,0,4
0.1,0.7264552768575485,0.5,0.7264552768575485,1.0,0.8415570175438597,0.0,0,578,0,1535,0.8216392592676083,0.8979355204191278,0.21097303855816985,2629573.4830205673,2629573.4830205673,0.0,578,0,4
0.15,0.7264552768575485,0.5,0.7264552768575485,1.0,0.8415570175438597,0.0,0,578,0,1535,0.8216392592676083,0.8979355204191278,0.21097303855816985,2629573.4830205673,2629573.4830205673,0.0,578,0,4
0.2,0.7264552768575485,0.5,0.7264552768575485,1.0,0.8415570175438597,0.0,0,578,0,1535,0.8216392592676083,0.8979355204191278,0.21097303855816985,2629573.4830205673,2629573.4830205673,0.0,578,0,4
0.25,0.7411263606247042,0.5268166089965398,0.7372718539865514,1.0,0.8487696986452862,0.19885236248287988,31,547,0,1535,0.8216392592676083,0.8979355204191278,0.21097303855816985,2629573.4830205673,2629573.4830205673,0.0,547,0,4
0.75,0.5461429247515381,0.6582323592302209,1.0,0.3164647184604419,0.4807796426637791,0.3669134698699782,710,0,959,444,0.979983034342907,0.9896829623391891,0.10847223912907275,1918.0,0.0,1918.0,0,959,5
0.8,0.3909133932796971,0.5413399857448326,1.0,0.08267997148966501,0.15273206056616195,0.17145110995116453,710,0,1287,116,0.979983034342907,0.9896829623391891,0.10847223912907275,2574.0,0.0,2574.0,0,1287,5
0.85,0.33601514434453383,0.5,0.0,0.0,0.0,0.0,710,0,1403,0,0.979983034342907,0.9896829623391891,0.10847223912907275,2806.0,0.0,2806.0,0,1403,5
0.9,0.33601514434453383,0.5,0.0,0.0,0.0,0.0,710,0,1403,0,0.979983034342907,0.9896829623391891,0.10847223912907275,2806.0,0.0,2806.0,0,1403,5
0.95,0.33601514434453383,0.5,0.0,0.0,0.0,0.0,710,0,1403,0,0.979983034342907,0.9896829623391891,0.10847223912907275,2806.0,0.0,2806.0,0,1403,5
0.7,0.6819687647893989,0.7601653398652786,0.9986357435197817,0.5217391304347826,0.6853932584269663,0.5163520586676545,709,1,671,732,0.979983034342907,0.9896829623391891,0.10847223912907275,5099.831440000005,3757.831440000005,1342.0,1,671,5
0.65,0.7553241836251775,0.8147084215915593,0.9966367713004485,0.6336421952957947,0.7747276688453159,0.6019440294756345,707,3,514,889,0.979983034342907,0.9896829623391891,0.10847223912907275,23183.259000000013,22155.259000000013,1028.0,3,514,5
0.6,0.8239469947941316,0.8642963267846566,0.9914204003813155,0.7412687099073414,0.8482871125611745,0.6883102544375502,701,9,363,1040,0.979983034342907,0.9896829623391891,0.10847223912907275,58913.81050105249,58187.81050105249,726.0,9,363,5
0.55,0.865120681495504,0.8921707006113659,0.9844020797227037,0.8096935138987883,0.8885412592882284,0.7441336459848704,692,18,267,1136,0.979983034342907,0.9896829623391891,0.10847223912907275,199351.49828844005,198817.49828844005,534.0,18,267,5
0.5,0.8802650260293422,0.9021834499513116,0.981574539363484,0.8353528153955809,0.9025798998844821,0.7663943275165287,688,22,231,1172,0.979983034342907,0.9896829623391891,0.10847223912907275,200578.53530124002,200116.53530124002,462.0,22,231,5
0.45,0.8987221959299574,0.9143430074387882,0.9782783588093322,0.8667141838916608,0.9191232048374905,0.7953400071900327,683,27,187,1216,0.979983034342907,0.9896829623391891,0.10847223912907275,203663.12969439203,203289.12969439203,374.0,27,187,5
0.4,0.9238050165641268,0.9273177195747543,0.9669172932330827,0.9166072701354241,0.9410903768752287,0.835857427701458,666,44,117,1286,0.979983034342907,0.9896829623391891,0.10847223912907275,270123.22043439205,269889.22043439205,234.0,44,117,5
0.35,0.927117841930904,0.9207683736058547,0.9496040316774658,0.940128296507484,0.9448424068767909,0.8375498956977102,640,70,84,1319,0.979983034342907,0.9896829623391891,0.10847223912907275,323880.79781124886,323712.79781124886,168.0,70,84,5
0.3,0.9275911026975864,0.9162549064881089,0.9407616361071932,0.9508196721311475,0.945763913505849,0.8369834170138516,626,84,69,1334,0.979983034342907,0.9896829623391891,0.10847223912907275,331581.23244143627,331443.23244143627,138.0,84,69,5
0.25,0.926171320397539,0.906489614809312,0.9255972696245733,0.9665003563791874,0.9456066945606695,0.8327816455095572,601,109,47,1356,0.979983034342907,0.9896829623391891,0.10847223912907275,336777.9551678764,336683.9551678764,94.0,109,47,5
0.2,0.9171793658305727,0.8913701022958851,0.9109772423025435,0.970064148253742,0.9395926820849154,0.8123721531980252,577,133,42,1361,0.979983034342907,0.9896829623391891,0.10847223912907275,374450.19427787635,374366.19427787635,84.0,133,42,5
0.15,0.9039280643634643,0.8633034844849568,0.8821656050955414,0.9871703492516037,0.9317188025563404,0.7854306192064962,525,185,18,1385,0.979983034342907,0.9896829623391891,0.10847223912907275,374580.45946863235,374544.45946863235,36.0,185,18,5
0.05,0.7231424514907714,0.5883760151787417,0.7059415911379657,0.9992872416250891,0.8273827087636471,0.35126181300690307,126,584,1,1402,0.979983034342907,0.9896829623391891,0.10847223912907275,421917.69683863234,421915.69683863234,2.0,584,1,5
0.1,0.8637008991954567,0.7975309447562065,0.8300769686204855,0.9992872416250891,0.906856403622251,0.7018145919937961,423,287,1,1402,0.979983034342907,0.9896829623391891,0.10847223912907275,421917.69683863234,421915.69683863234,2.0,287,1,5
