threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample,avg_cost_fp,avg_cost_fn,fold
0.45,0.8297557364914878,0.7960074026287152,0.9227642276422764,0.8549905838041432,0.8875855327468231,0.5457744067181027,213,76,154,908,0.8674499377683941,0.951560729228796,0.14483213516629861,191522781.18244976,77122751.8535243,114400029.32892548,76,154,141763.71664133956,1014773.0507042671,79445.88603802516,4
0.5,0.8156920799407846,0.7895806045914544,0.922996878251821,0.835216572504708,0.8769154720711814,0.5241030035392023,215,74,175,887,0.8674499377683941,0.951560729228796,0.14483213516629861,218957706.83588836,75049229.25452429,143908477.58136407,74,175,162070.84147734148,1014178.7737097878,87945.64291349103,4
0.55,0.7823834196891192,0.7784685160205658,0.9266666666666666,0.7853107344632768,0.8501529051987767,0.48429250758399367,223,66,228,834,0.8674499377683941,0.951560729228796,0.14483213516629861,224430875.28554547,74580019.03465354,149850856.25089192,66,228,166122.03944155845,1130000.288403842,70289.48800106994,4
0.6,0.7549962990377498,0.7711229057924267,0.9315230224321134,0.7429378531073446,0.8266107909900472,0.459780356293685,231,58,273,789,0.8674499377683941,0.951560729228796,0.14483213516629861,261541254.8538049,66337026.91827128,195204227.9355336,58,273,193590.86221599177,1143741.8434184704,76470.26070439383,4
0.65,0.7268689859363434,0.7607878977446745,0.9347553324968633,0.7015065913370998,0.8015061861215708,0.4348550979221594,237,52,317,745,0.8674499377683941,0.951560729228796,0.14483213516629861,263422436.60361248,58616528.73563121,204805907.86798128,52,317,194983.29874434677,1127240.937223677,69095.41283354654,4
0.7,0.6831976313841599,0.7468623541141282,0.9427374301675978,0.635593220338983,0.7592800899887514,0.4056511091505381,248,41,387,675,0.8674499377683941,0.951560729228796,0.14483213516629861,287255117.035613,46398097.30827355,240857019.72733945,41,387,212624.06886425833,1131660.909957891,66560.15754578404,4
0.75,0.6010362694300518,0.7097139952690947,0.9500860585197934,0.519774011299435,0.671941570298235,0.34740427687531145,260,29,510,552,0.8674499377683941,0.951560729228796,0.14483213516629861,345726826.93356407,29200767.637461703,316526059.29610234,29,510,255904.387071476,1006923.021981438,66375.11595626958,4
0.8,0.5011102886750555,0.6688219654761206,0.973170731707317,0.3757062146892655,0.5421195652173914,0.301150360570048,278,11,663,399,0.8674499377683941,0.951560729228796,0.14483213516629861,351845635.9003919,7117157.348041996,344728478.55234987,11,663,260433.4832719407,647014.3043674543,55607.021347807844,4
0.85,0.3945225758697261,0.6085811193869373,0.9803149606299213,0.2344632768361582,0.378419452887538,0.2279162642927396,284,5,813,249,0.8674499377683941,0.951560729228796,0.14483213516629861,376772698.99362576,5323001.702893224,371449697.29073256,5,813,278884.3071751486,1064600.3405786448,48862.47499284836,4
0.9,0.25832716506291636,0.5269892935572368,0.9838709677419355,0.05743879472693032,0.10854092526690391,0.10578166269838957,288,1,1001,61,0.8674499377683941,0.951560729228796,0.14483213516629861,405677180.82912743,389453.1889875885,405287727.6401398,1,1001,300279.1864020188,389453.1889875885,43300.74551901631,4
0.95,0.21391561806069578,0.5,0.0,0.0,0.0,0.0,289,0,1062,0,0.8674499377683941,0.951560729228796,0.14483213516629861,448597184.35295,0.0,448597184.35295,0,1062,332048.2489659141,0.0,45174.98579194126,4
0.45,0.8715867158671586,0.7770131938125568,0.9140555058191585,0.9290263876251137,0.9214801444043321,0.5699466612960771,160,96,78,1021,0.8739727877616013,0.9633769355404069,0.10352769758732153,66484876.828709885,35252635.5633683,31232241.265341584,96,78,49066.32976288552,367214.95378508646,42822.74928267342,5
0.35,0.8730627306273063,0.7404689632620565,0.8964927288280582,0.9535941765241128,0.9241622574955908,0.54707154698351,135,121,51,1048,0.8739727877616013,0.9633769355404069,0.10352769758732153,66680188.63036856,47212433.74458987,19467754.885778688,121,51,49210.47131392514,390185.4028478502,40823.63679077042,5
0.3,0.862730627306273,0.6966453878525933,0.8788381742738589,0.9636032757051866,0.9192708333333334,0.4906744410415588,110,146,40,1059,0.8739727877616013,0.9633769355404069,0.10352769758732153,68216668.85071398,50738852.18831294,17477816.662401047,146,40,50344.405055877476,347526.3848514585,46729.72078560099,5
0.15,0.8538745387453874,0.6237684116242038,0.8511301636788776,0.9936305732484076,0.9168765743073047,0.4319953435512089,65,191,7,1092,0.8739727877616013,0.9633769355404069,0.10352769758732153,68375214.28941442,67556723.50576423,818490.7836501829,191,7,50461.41275971544,353700.1230668285,12504.944009671754,5
0.4,0.8760147601476015,0.7617649567788899,0.9058413251961639,0.9454049135577798,0.92520035618878,0.5685215795213925,148,108,60,1039,0.8739727877616013,0.9633769355404069,0.10352769758732153,69175404.0722012,46024585.599340364,23150818.472860843,108,60,51051.958724871736,426153.5703642626,41264.92853165114,5
0.25,0.8612546125461255,0.6837501421747043,0.8736669401148482,0.9690627843494085,0.9188955996548749,0.47874604732731973,102,154,34,1065,0.8739727877616013,0.9633769355404069,0.10352769758732153,69389124.90326418,52009437.670565896,17379687.23269828,154,34,51209.68627547172,337723.6212374409,54667.477833550256,5
